n1,n2
PIP2,PKB
PIP2,PMCA
PIP2,PMCA
PMCA,CALCIUM
CALMODULIN,PMCA
CAMP,PKA
CREB,CRE
DAG,PKC
CALCIUM,PKC
FIVEHT1AR,GALPHAI
GALPHAQ,PLCBETA
GALPHAQ,PLCBETA
GALPHAQ,PLCBETA
RSK,CREB
MAPK,MAPKAPK2
PKA,SYNAPSIN
CAMKI,SYNAPSIN
CAMKII,SYNAPSIN
MAPK,SYNAPSIN
MAPK,SYNAPSIN
CDK5,SYNAPSIN
CALCIUM,SYNAPSIN
VAV,RAC
CAMKII,TIAM1
PKC,TIAM1
PKC,TIAM1
TIAM1,RAC
GRB2,VAV
ZAP70,VAV
SRC,VAV
SRC,VAV
RASGRP3,RAS
RASGRP3,RAP1
PKC,RASGRP3
RAS,RALGDS
RAP1,RALGDS
RALGDS,RAL
ABL,GRB2
ABL,SHC
PSD95,NEUROLIGIN
NOS,NO
NOS,NO
CALMODULIN,NOS
CALMODULIN,NOS
RAC,PAK
CDC42,PAK
NEUROLIGIN,NEUREXIN
CALCIUM,DREAM
DREAM,DRE
CREM,DREAM
DREAM,CREB
MSK1,CREB
P38,MSK1
MAPK,MSK1
S6K,CREM
P38,MAPKAPK2
P38,MAPKAPK2
MAPK,MAPKAPK2
NCK,PAK
NCK,PAK
NCK,PAK
NCK,PAK
MEK6,P38
P38,MNK1
MAPK,MNK1
P38,MNK1
MAPK,MNK1
MNK1,EIF4E
MNK1,EIF4E
CBP,SRF
SRF,SRE
TCF,SRE
SRF,SRE
TCF,SRE
TCF,SRF
ELK1,SRE
ELK1,TCF
MAPK,ELK1
MAPK,ELK1
CBP,AP1
CBP,STAT
CBP,ELK1
CBP,TCF
CALMODULIN,CAMKIV
CALMODULIN,AC1
CALMODULIN,AC1
CALMODULIN,AC1
CALMODULIN,CALCINEURIN
GBETAGAMMA,PLCBETA
GBETAGAMMA,PLCBETA
GBETAGAMMA,PLCBETA
GBETAGAMMA,PLCBETA
GBETAGAMMA,PLCBETA
GALPHAQ,PLCBETA
CAMKIV,CREB
CAMKIV,CREB
NMDAR,CALCIUM
ACH,M2R
ACH,M2R
ACH,M2R
M2R,GALPHAI
M2R,GALPHAI
M2R,GALPHAI
M2R,GBETAGAMMA
M2R,GBETAGAMMA
GBETAGAMMA,RASGAP
GBETAGAMMA,bARK
GBETAGAMMA,AC2
GBETAGAMMA,AC2
GBETAGAMMA,bARK
GBETAGAMMA,bARK
CALMODULIN,NOS
BETACATENIN,LEF
BETACATENIN,LEF
RAS,PI3K
RAS,PI3K
RAS,PI3K
GBETAGAMMA,PI3K
BETACATENIN,TCF
GBETAGAMMA,NTYPECA
GBETAGAMMA,NTYPECA
IRS1,GRB2
IRS1,GRB2
SHC,GRB2
SHC,GRB2
SHC,GRB2
SHC,GRB2
INSULIN,IR
INSULIN,IR
INSULIN,IR
IRS1,PI3K
IRS1,NCK
IR,IRS1
IR,IRS1
PA,SHP1
PIP3,SHP1
JAK,STAT
JAK,STAT
GBETAGAMMA,IRS1
PIP2,bARK
PKC,NMDAR
SSTR1,GALPHAI
SSTR1,GBETAGAMMA
SSTR1,GALPHAO
SS,SSTR1
SS,SSTR2
SS,SSTR1
SS,SSTR2
SSTR2,SHP1
D1R,GALPHAS
D1R,GALPHAI
SSTR2,GALPHAO
SSTR2,GALPHAI
SSTR2,GBETAGAMMA
PAF,PAFR
PAF,PAFR
PAF,PAFR
PAF,PAFR
FIVEHT2AR,GALPHAQ
PAFR,GALPHAO
PAFR,GALPHAO
PAFR,GALPHAQ
M1R,GALPHAQ
M1R,GALPHAQ
M1R,GALPHAQ
PAFR,GBETAGAMMA
PAFR,GBETAGAMMA
PAFR,GBETAGAMMA
ACH,M1R
ACH,M1R
M2R,GALPHAO
M2R,GALPHAO
M1R,GALPHA11
GALPHA13,PYK2
FIVEHT1AR,GALPHAS
FIVEHT1AR,GBETAGAMMA
PDK1,RSK
GRB2,SAM68
FIVEHT4R,GALPHAS
FIVEHT2AR,GBETAGAMMA
FIVEHT4R,GBETAGAMMA
SEROTONIN,FIVEHT4R
SEROTONIN,FIVEHT2AR
SAM68,RASGAP
SAM68,RASGAP
FYN,SAM68
SAM68,PLCGAMMA
SAM68,mRNA
SRC,SAM68
SRC,SAM68
SRC,SAM68
DOPAMINE,D1R
DOPAMINE,D1R
DOPAMINE,D2R
DOPAMINE,D2R
DOPAMINE,D2R
D2R,GALPHAI
D1R,GALPHAS
D2R,GBETAGAMMA
PKA,PLCGAMMA
PLCGAMMA,DAG
PLCGAMMA,IP3
PLCGAMMA,IP3
PLCGAMMA,IP3
PLCGAMMA,IP3
PLCBETA,IP3
PLCBETA,IP3
PLCBETA,DAG
PLCBETA,DAG
PLCBETA,IP3
PLCBETA,DAG
PLCBETA,IP3
GLUTAMATE,MGLUR1
GLUTAMATE,MGLUR1
MGLUR1,GALPHA11
MGLUR1,GALPHAQ
MGLUR1,GBETAGAMMA
SHP1,RET
RET,IRS1
RET,SHC
GDNF,RET
RET,GRB2
RET,SHC
PKA,NFKB
MAPK,CBP
CALCINEURIN,NFAT
CALCINEURIN,NFAT
APAF1,CASPASE9
BAP31,CASPASE8
BAP31,BCL2
BAP31,BCLXL
CASPASE8,CASPASE3
CASPASE8,BID
FADD,CASPASE8
FAS,FADD
BID,CYTOCHROMEC
FASL,FAS
FASL,FAS
FASL,FAS
BAX,CYTOCHROMEC
PHAP,APAF1
CALCIUM,CALNEXIN
SRC,SHC
SRC,SHC
PYK2,SRC
CALCIUM,CALRETICULIN
SEC63P,BIP
PIP2,ARNO
PIP2,ARNO
PIP3,ARNO
FOUREBP1,EIF4E
FOUREBP1,EIF4E
MTOR,PHAS
TRKB,FYN
BDNF,TRKB
FYN,NMDAR
FYN,NMDAR
SRC,NMDAR
CALPAIN,NMDAR
NMDAR,SPECTRIN
NMDAR,SPECTRIN
NMDAR,PSD95
FYN,BETACATENIN
FER,BETACATENIN
ALPHACATENIN,BETACATENIN
NEUROLIGIN,NEUREXIN
D2R,GALPHAO
D2R,GALPHAI
LIMK,COFILIN
LIMK,COFILIN
PAK,RAF1
PAK,COOL
COOL,RHO
COOL,RAC
COOL,CDC42
RHO,ROCK
P1433,COFILIN
PAK,LIMK
ROCK,LIMK
LIMK,COFILIN
IP3,IP3R
IP3,IP3R
IP3,IP3R
PKA,IP3R
PKA,IP3R
IP3,IP3R
SYNDECAN,SYNTENIN
SYNDECAN,SYNTENIN
SYNDECAN,SYNTENIN
SYNTENIN,MGLUR7
GRIP,MGLUR7
SYNTENIN,MERLIN
SYNTENIN,AMPAR
CAMKII,AMPAR
PKC,NOS
CAMKII,NOS
CAMKII,NOS
CAMKIV,NOS
PKA,NOS
CALMODULIN,MLCK
CALMODULIN,MLCK
MLCK,MYOSIN
MLCK,MYOSIN
MLCK,MYOSIN
EEF2K,EEF2
EEF2K,EEF2
EEF2K,EEF2
EEF2K,EEF2
EEF2K,EEF2
CALMODULIN,EEF2K
CALMODULIN,EEF2K
RSK,EEF2K
S6K,EEF2K
MTOR,S6K
MAPK,RSK
L1,AP2
L1,EZRIN
THC,CB1R
THC,CB1R
CB1R,GBETAGAMMA
FAK,FYN
FAK,SRC
RABPHILIN,RAB3
RABPHILIN,RAB3
CALCIUM,RABPHILIN
PIP2,RABPHILIN
PKA,RABPHILIN
PKA,RABPHILIN
CAMKII,RABPHILIN
CAMKII,RABPHILIN
FAK,IRS1
PROFILIN,ACTIN
PROFILIN,ACTIN
PROFILIN,SYNAPSIN
PROFILIN,DYNAMIN
SRC,CAS
CRK,CAS
CRK,C3G
C3G,RAP1
C3G,RAP1
RAP1,bRAF
RAP1,bRAF
PAK,ABL
NCK,ABL
IRS1,GRB2
ADENOSINE,A1R
A1R,GALPHAI
A1R,GALPHAI
A1R,GALPHAI
A1R,GBETAGAMMA
ABL,VAV
VAV,RAC
ALPHA1AR,GBETAGAMMA
ALPHA2AR,GBETAGAMMA
ALPHA1AR,GALPHAQ
ALPHA1AR,GALPHA11
ALPHA2AR,GALPHAI
ALPHA2AR,GALPHAO
PKC,ABL
ABL,P53
MEK2,MAPK
bRAF,MEK1
bRAF,MEK1
bRAF,MEK1
bRAF,MEK1
bRAF,MEK1
P1433,bRAF
P1433,bRAF
P1433,bRAF
RAP1,RAF1
RAP1,RAF1
PKB,RAF1
RAS,RAF1
RAS,RAF1
CALCINEURIN,AKAP
CALCINEURIN,NOS
PKC,AKAP
PKC,AKAP
PKA,AKAP
PKA,AKAP
PKA,RAF1
PKA,RAF1
PKC,RAF1
LCK,RAF1
PKA,RAP1
RAP1,RAF1
RAS,RAF1
PKA,CAMKK
CAMKK,CAMKI
CALMODULIN,CAMKK
pGC,CGMP
pGC,CGMP
CGMP,PKG
CGMP,PKG
CGMP,PKG
SPINOPHILIN,PP1
CAMKII,CREB
CAMKI,CREB
CAMKII,SPINOPHILIN
SPINOPHILIN,ACTIN
PKA,SPINOPHILIN
SPINOPHILIN,ACTIN
SPINOPHILIN,ACTIN
SPINOPHILIN,PP1
MP1,MEK1
MP1,MAPK
JIP,JNK
JIP,JNK
NIK,MEKK1
NIK,NCK
JIP,MLK3
JIP,MEK7
JIP,DLK
MEKK3,MEK3
MEKK2,MEK4
MEKK4,MEK3
MEKK4,MEK6
PKC,CPI17
PKC,CPI17
CPI17,MYOSINPPASE
PKN,CPI17
CASK,CPI17
ILK,CPI17
ROCK,CPI17
VDAC2,BAK
BCLXL,BAX
JNK,BIM
BCL2,BAX
BIM,BAX
BIM,BCL2
JNK,ELK1
JNK,ELK1
P38,ATF2
MEK3,P38
MEK6,P38
P38,ELK1
P38,MEF2
ARH2,RAC
ARH2,RHO
TUBULIN,ARH2
JIP,RHOGEF
JIP,MEK4
MEK7,JNK
BETAARRESTIN,FRIZZLED
CASK,DISHEVELED
CASK,DISHEVELED
CASK,DISHEVELED
DISHEVELED,PAR1
BETAARRESTIN,SRC
SRC,SAM68
SRC,SAM68
PDZGEF,RAP1
PDZGEF,RAP2
CALMODULIN,RAB3
CALCIUM,SYNAPTOTAGMIN
CALCIUM,DYNAMIN
PKC,DYNAMIN
PKC,MARCKS
PKC,MARCKS
PKC,GAP43
PKC,GAP43
RABGDI,RAB3
PKC,AC2
PKC,AC2
PKC,AC2
PKC,AC2
PKC,AC2
GALPHAS,AC1
GALPHAS,AC1
GALPHAS,AC1
AC5,CAMP
PKC,AC5
GALPHAS,AC5
NO,pGC
NO,pGC
GALPHAS,AC2
GALPHAS,AC2
AC1,CAMP
AC2,CAMP
BETA2AR,GALPHAS
BETA2AR,GBETAGAMMA
SEROTONIN,FIVEHT1CR
SEROTONIN,FIVEHT1CR
RHEB,RAF1
PKA,RAF1
RAS,RAF1
EGFR,GRB2
EGFR,GRB2
PYK2,GRB2
PYK2,GRB2
PYK2,SRC
PYK2,KV12
PYK2,KV12
KV12,POTASSIUM
SYNTAXIN,KV11
GBETAGAMMA,KV11
KV11,POTASSIUM
SYNTAXIN,NTYPECA
SYNTAXIN,NTYPECA
GBETAGAMMA,SYNTAXIN
SYNTAXIN,MUNC18
SYNAPTOTAGMIN,LTYPECA
SYNAPTOTAGMIN,RTYPECA
RTYPECA,CALCIUM
CALMODULIN,MUNC13
CALMODULIN,MUNC13
MUNC18,MINT
MINT,CASK
CASKIN,CASK
CASK,TBR1
CASK,PMCA
SHPTP2,GRB2
PDGFR,SHPTP2
PDGFR,SHPTP2
PDGFR,APS
PDGF,PDGFR
PDGFR,NHERF
BETA2AR,NHERF
RACK,PKC
RACK,PKC
RACK,PKC
RACK,NHERF
RYR,CALCIUM
SHPTP2,GAB1
SHPTP2,SPROUTY
GRB2,SPROUTY
SHPTP2,PAXILLIN
GAB1,PAXILLIN
CSK,PAXILLIN
CSK,FAK
CSK,SRC
CSK,SRC
SHPTP2,GRB2
SHPTP2,PI3K
DENSIN,CAMKII
DENSIN,CAMKII
NMDAR,CAMKII
CALMODULIN,NMDAR
NMDAR,ALPHAACTININ
CAMKII,ALPHAACTININ
DENSIN,ALPHAACTININ
SEROTONIN,FIVEHT1AR
SEROTONIN,FIVEHT1AR
SEROTONIN,FIVEHT1AR
SEROTONIN,FIVEHT2AR
SEROTONIN,FIVEHT2AR
SEROTONIN,FIVEHT4R
ADENOSINE,A1R
ADENOSINE,A1R
ADENOSINE,A2AR
ADENOSINE,A2AR
A2AR,GALPHAS
A2AR,GALPHAS
A2AR,GBETAGAMMA
VAV,RHO
VAV,RHO
VAV,RHO
VAV,CDC42
VAV,CDC42
RHOGEF,RHO
GALPHA12,RHOGEF
GALPHA13,RHOGEF
PIP3,VAV
ARNO,ARF
EFA6,ARF
BDNF,TRKB
RAP1,bRAF
RAS,bRAF
PKA,bRAF
D1R,GBETAGAMMA
M1R,GBETAGAMMA
RAP1,RALGDS
PKC,PLA2
MAPK,PLA2
P38,PLA2
RHO,CITRON
PKG,NOS
STARGAZIN,PSD95
AMPAR,STARGAZIN
ELK1,SRE
L1,ANKYRIN
L1,ANKYRIN
NRCAM,ANKYRIN
FAK,ALPHAACTININ
BRADYKININ,BR1R
BRADYKININ,BR1R
BR1R,GBETAGAMMA
BRADYKININ,BR1R
PYK2,SRC
BR1R,GALPHAQ
BR1R,GBETAGAMMA
BR1R,GALPHAI
BR1R,GALPHA11
BR1R,GALPHAQ
DAG,RASGRP
CALCIUM,RASGRP
RASGRF,RAS
RASGRF,RAC
CAMKII,RASGRF
CALMODULIN,IP3R
RASGRP,RAS
PKC,RASGRP
NMDAR,RASGRF
RASGRF,RAS
RASGRF,RAS
MKP5,P38
MKP5,JNK
RASGRF,RAS
CALCIUM,CAPRI
CALCIUM,CAPRI
CAPRI,RAS
CAPRI,RAS
RASGRF,RAS
RASGRF,RAS
RASGRF,RAC
CALMODULIN,RASGRF
CALMODULIN,RASGRF
CAMP,EPAC
CAMP,EPAC
EPAC,RAP1
CALMODULIN,RIN1
RIN1,RAS
P1433,RIN1
RIN1,RAS
PKD,P1433
GLYCINE,GLYR
PKA,GLYR
PKC,GLYR
SRC,GLYR
SRC,GABAAR
BID,BAX
TRKB,SHC
EGFR,SHC
SHC,GRB2
GSK3,CREB
PKB,GSK3
PP2A,GSK3
SHP1,JAK
AP2,SYNAPTOTAGMIN
GALPHA13,RADIXIN
RADIXIN,ACTIN
PKA,RAP1
PAFR,GALPHAI
CAMKIV,CREM
CAMKIV,CREM
AXIN,APC
ANP,pGC
NWASP,ARP23
NWASP,NIK
ARP23,ACTIN
IKBB,NFKB
IGF1,IGF1R
PKG,ADPRIBSYCYCLASE
M1R,GALPHA11
M1R,RGS2
RGS2,GALPHA11
RGS2,GALPHAQ
M1R,GBETAGAMMA
RGS2,GALPHAI
RGS2,GALPHAQ
M2R,RGS2
EGF,EGFR
MAPK,KV42
MAPK,KV42
KV42,POTASSIUM
IGF1R,VAV
KV42,POTASSIUM
P38,STAT
AXIN,GSK3
AXIN,BETACATENIN
AXIN,GSK3
AXIN,BETACATENIN
GSK3,BETACATENIN
AXIN,APC
APC,BETACATENIN
AXIN,GSK3
AXIN,BETACATENIN
GSK3,APC
GSK3,BETACATENIN
AXIN,GSK3
AXIN,BETACATENIN
AXIN,APC
GSK3,APC
APC,BETACATENIN
AXIN,MEKK1
AXIN,MEKK1
AXIN,MEKK4
DISHEVELED,AXIN
DISHEVELED,AXIN
PLCBETA,PIP2
GALPHAI,AC2
CREM,CREB
GRB2,DYNAMIN
PIP2,DYNAMIN
PIP2,DYNAMIN
GRB2,DYNAMIN
GRB2,DYNAMIN
SRC,DYNAMIN
TUBULIN,DYNAMIN
PIP2,DYNAMIN
JIP,RASGRF
JIP,TIAM1
P38,ATF2
JIP,P38
INTEGRIN,RACK
ALPHA7NACHR,SODIUM
ALPHA7NACHR,SODIUM
ACH,ALPHA7NACHR
ACH,ALPHA7NACHR
ARFGEF,ARF
ARFGEF,ARF
PKA,CBP
STAT1,CBP
STAT1,CBP
STAT5,CBP
STAT5,CBP
NFKB,CBP
PKG,CREB
CREB,CBP
CREB,CBP
CREB,CBP
CBP,PCAF
CREB,TFIID
CREB,TFIID
PKA,DARPP32
PKA,DARPP32
PKA,DARPP32
P53,CBP
CBP,TCF
CBP,BETACATENIN
CARM1,BETACATENIN
FIBRONECTIN,INTEGRIN
DARPP32,PP1
DARPP32,PP1
SPAL,RAP1
PKA,BETA2AR
ARFGAP,ARF
RAP1GAP,RAP1
P1433,bRAF
RGS4,GALPHAQ
GAIP,GALPHAQ
MYOSINPPASE,MYOSIN
MKP1,P38
MKP1,MAPK
MKP1,MAPK
MKP1,JNK
DISHEVELED,AXIN
FAK,SHC
PTEN,FAK
PAR2,GBETAGAMMA
PAR2,GBETAGAMMA
PAR2,GBETAGAMMA
PAR2,GALPHAQ
TRYPSIN,PAR2
BETAARRESTIN,PAR2
AP2,CLATHRIN
AP2,CLATHRIN
AP2,CLATHRIN
AMPAR,AP2
PYK2,EGFR
PYK2,SRC
ACTIN,FASCIN
PKC,FASCIN
SHC,SOS
ABL,CDK5
TRKA,GRB2
MEK2,PRK2
RHO,PKC
GBETAGAMMA,AC1
CALCIUM,AC5
GALPHAI,AC5
TUBERIN,RAP1
SYNAPSIN,GALPHAZ
PKA,SYNAPSIN
PAK,SYNAPSIN
D2R,GALPHAZ
D2R,GALPHAI
FIVEHT1AR,GALPHAZ
GALPHAZ,AC5
GALPHAZ,AC1
IKBA,NFKB
CBL,VAV
CREM,DREAM
CALCINEURIN,DARPP32
PKA,D1R
SIAH,VAV
NMDAR,ALPHAACTININ
NMDAR,ALPHAACTININ
PSD95,ALPHAACTININ
DOK,RASGAP
DOK,RASGAP
ABL,DOK
ABL,DOK
EPHB2,DOK
EPHB2,RASGAP
DOK,NCK
EPHRIN,EPHB2
DOK,NCK
BETAARRESTIN,BETA2AR
AMPAR,STARGAZIN
WNT,FRIZZLED
WNT,FRIZZLED
WNT,LRP
GABAAR,CHLORIDE
NE,ALPHA1AR
NE,ALPHA2AR
NE,BETA2AR
NE,ALPHA1AR
NE,ALPHA2AR
NE,BETA2AR
NE,BETA2AR
CBL,SRC
CBL,PI3K
CBL,SHC
CBL,EGFR
CBL,GRB2
IRS1,GRB2
KV41,Potassium
KV41,Potassium
KV41,PSD95
CAMKII,KV42
DREAM,KV42
DREAM,KV42
PKA,KV42
DREAM,KV41
KV14,Potassium
SNAP25,NTYPECA
SYNTAXIN,NTYPECA
PKA,TAU
CASK,TAU
PKA,TAU
CALPAIN,TAU
MAPK,TAU
MAPK,TAU
GRB2,GAB1
GAB1,PI3K
M4R,EEF1A2
ACH,M4R
M4R,GALPHAI
M4R,GBETAGAMMA
CALMODULIN,PLCBETA
M4R,GALPHAI
GLUTAMATE,KAR
KAR,PSD95
KAR,SYNTENIN
KAR,SYNTENIN
KAR,PICK1
KAR,PICK1
PKA,KAR
PKC,KAR
KAR,GRIP
KAR,GRIP
CALCINEURIN,GABAAR
PKA,AMPAR
GBETAGAMMA,PQCaCh
AMPAR,GRIP
PKC,NTYPECA
PKC,NTYPECA
CAMKII,NTYPECA
SYNTAXIN,NTYPECA
SNAP25,NTYPECA
SNAP25,NTYPECA
PICK1,AMPAR
PKC,PICK1
PKC,AMPAR
CALMODULIN,IP3R
GLUTAMATE,AMPAR
AMPAR,SODIUM
CAMKII,RYR
CALCIUM,ALPHAACTININ
CALMODULIN,NMDAR
NMDAR,ALPHAACTININ
CALMODULIN,NMDAR
SYNTAXIN,GAT1
SYNTAPHILIN,SYNTAXIN
GAT1,GABA
GAT1,GABA
SAP97,AMPAR
SAP97,KAR
HOMER,RYR
MLK3,MEK4
PAK,LIMK
ROCK,LIMK
CALMODULIN,DAPK
SMACDIABLO,XIAP
XIAP,CASPASE3
XIAP,CASPASE7
XIAP,CASPASE9
XIAP,CASPASE3
XIAP,CASPASE7
XIAP,CASPASE9
cIAP1,CASPASE3
cIAP1,CASPASE7
cIAP2,CASPASE3
cIAP2,CASPASE7
XIAP,CASPASE3
XIAP,CASPASE7
CYTOCHROMEC,APAF1
CYTOCHROMEC,APAF1
APAF1,CASPASE9
APAF1,CASPASE9
APAF1,CASPASE9
dATP,APAF1
dATP,APAF1
NAIP,CASPASE9
CALCIUM,HIPPOCALCIN
CALCIUM,HIPPOCALCIN
HIPPOCALCIN,NAIP
HIPPOCALCIN,NAIP
NAIP,CASPASE3
NAIP,CASPASE7
APOLLON,SMACDIABLO
APOLLON,CASPASE9
SURVIVIN,SMACDIABLO
PKA,MAP2
PKA,MAP2
PKC,MAP2
CAMKII,MAP2
PKC,MBP
TUBULIN,GRB2
TUBULIN,PI3K
DYNEIN,TUBULIN
MAP1B,TUBULIN
SYK,TUBULIN
ZAP70,TUBULIN
FYN,TUBULIN
LYN,TUBULIN
SRC,CORTACTIN
CORTACTIN,DYNAMIN
ACTIN,CORTACTIN
CALMODULIN,MARCKS
CALMODULIN,MARCKS
ACTIN,MARCKS
PKC,MARCKS
CDK5,NFH
PP2A,NFH
NMDAR,TUBULIN
PP1,COFILIN
PP2A,COFILIN
COFILIN,ACTIN
COFILIN,ACTIN
GELSOLIN,ACTIN
PROFILIN,PIP2
PROFILIN,PIP2
PROFILIN,PIP2
CASPASE6,LAMINA
CASPASE3,GELSOLIN
PIP2,GELSOLIN
GELSOLIN,CASPASE9
CALCINEURIN,MAP2
CALCINEURIN,MAP2
CALCINEURIN,TAU
CALCINEURIN,TUBULIN
MAPK,NFH
MAPK,NFM
CALPAIN,SPECTRIN
PKC,ADDUCIN
CALMODULIN,P35611
PKC,ADDUCIN
CALMODULIN,P35611
PKA,ADDUCIN
CALMODULIN,SPECTRIN
TUBULIN,GABARAP
ACTIN,N41
EGFR,N41
ACTIN,SPECTRIN
N41,SPECTRIN
ACTIN,IQGAP
ACTIN,IQGAP
CORTACTIN,SHANK
SYNAPSIN,ACTIN
CAMKII,SYNAPSIN
PKA,SYNAPSIN
ACTIN,ALPHAACTININ
ANKYRIN,SPECTRIN
CASK,ANKYRIN
SPECTRIN,ICA512
VASP,PROFILIN
ROCK,PROFILIN
PKA,FILAMIN
ACTIN,FILAMIN
PKA,FILAMIN
KINESIN,JIP
ACTIN,NEURABIN
TALIN,INTEGRIN
TALIN,INTEGRIN
ACTIN,VINCULIN
VINCULIN,TALIN
PAXILLIN,PAK
PAK,COOL
PAK,COOL
SHANK,COOL
GIT1,COOL
ACTIN,TALIN
PKCE,ACTIN
MAP2,TUBULIN
MAP1A,TUBULIN
MAP1B,TUBULIN
PSD95,CRIPT
PSD95,CRIPT
CRIPT,TUBULIN
CALPAIN,MAP2
PKA,MAP2
MYOSINV,CAMKII
CALMODULIN,MYOSINV
CALMODULIN,MYOSINV
FASCIN,ANKYRIN
CRMP2,TUBULIN
TAU,TUBULIN
PKC,EIF4E
PKC,EIF4E
RSK,S6
S6,S40
SRP54,NASCENTCHAIN
SRP54,NASCENTCHAIN
SRP54,SRPR
SRPR,SEC61P
S60,SRP54
PERK,EIF2
PKR,EIF2
PKR,EIF2
EIF2,tRNA
EIF2,tRNA
S40,mRNA
S40,mRNA
S40,S60
S40,S60
S40,S60
EIF4E,mRNA
EIF4G,mRNA
EIF3,mRNA
EIF4A,mRNA
EIF4A,mRNA
EIF4G,DCP1
EIF4G,EIF4E
EIF4G,PABP
EIF4G,PABP
EIF4G,MNK1
S6K,S6
CASPASE3,EIF4G
PKR,EIF2
PKR,EIF2
EIF5,EIF2
DCP1,mRNA
DCP1,mRNA
CALNEXIN,NASCENTCHAIN
CALRETICULIN,NASCENTCHAIN
BIP,NASCENTCHAIN
GRP94,NASCENTCHAIN
GRP94,NASCENTCHAIN
PDI,NASCENTCHAIN
DNAJ,NASCENTCHAIN
DNAJ,NASCENTCHAIN
PHAS,EIF4E
EIF3,EIF4G
S40,EIF3
EIF4A,EIF4G
PP2A,GSK3
PP2A,PKB
CALCINEURIN,TAU
CALCINEURIN,TAU
SIVA1,BCLXL
CALBRAIN,CAMKII
CALMODULIN,AKAP
CALMODULIN,RAS
CALMODULIN,VAMP
PKC,bARK
CALMODULIN,bARK
DENSIN,NMDAR
GRB2,PTPA
BETAARRESTIN,CLATHRIN
BETAARRESTIN,AP2
GABABR,GALPHAO
GABABR,GBETAGAMMA
EIF1A,S40
EIF4B,mRNA
EIF4A,EIF4G
CBP,EIF4G
PABP,mRNA
PKC,MGLUR1
PDE1A,cGMP
PDE1A,cGMP
PDE1A,cGMP
CALMODULIN,PDE1A
PDE1B,cGMP
PDE1B,cGMP
PDE1B,cGMP
CALMODULIN,PDE1B
PDE1C,cGMP
CALMODULIN,PDE1C
PDE2A,cAMP
cGMP,PDE2A
cGMP,PDE3A
cGMP,PDE3B
PDE3A,cAMP
PDE3B,cAMP
PKA,PDE3A
PKA,PDE3B
PDE4A,cAMP
PDE4A,cAMP
PDE4B,cAMP
PDE4B,cAMP
PDE4C,cAMP
PDE4D,cAMP
PKA,PDE4D
PKG,PDE5A
PKA,PDE5A
PDE5A,cGMP
BETAARRESTIN,PDE4D
BETAARRESTIN,PDE4D
PKA,NMDAR
PKC,NMDAR
GALPHA11,PLCBETA
PA,PLCBETA
CBL,CRK
CBL,CRK
CBL,GRB2
CBL,FYN
CBL,FYN
CBL,LCK
CBL,LCK
CDC42,MLK3
RAC,MLK3
JNK,ATF2
SYNGAP,RAS
CAMKII,SYNGAP
